video,comentarios,autores_unicos,sentimiento_medio,sentimiento_mediano,desviacion,positivos,negativos,neutrales_o_sin_cobertura,cobertura_lexica,porcentaje_positivos,porcentaje_negativos,muestra_suficiente,nota_comparacion
Qué rico come tu diputado,161,128,-0.1999,0.0,0.4293,26,73,62,0.6149,16.15,45.34,True,comparable
La cooptación de Walter Mazariegos en la USAC,50,49,-0.0677,0.0,0.5241,15,20,15,0.7,30.0,40.0,True,comparable
Inician los trabajos de recuperación del Puente Belice II.,45,32,0.1348,0.25,0.5493,25,12,8,0.8222,55.56,26.67,True,comparable
Plan 2032 Ciudad de Guatemala,25,25,0.4838,0.5423,0.3159,21,0,4,0.84,84.0,0.0,True,comparable
Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,25,19,0.0931,0.0,0.4977,9,5,11,0.6,36.0,20.0,True,comparable
EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,25,18,0.0499,0.0,0.461,8,6,11,0.56,32.0,24.0,True,comparable
Arroz con pollo a la MONOPOLIO,16,16,0.2576,0.0,0.4652,7,2,7,0.5625,43.75,12.5,True,comparable
Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,14,13,0.1799,0.0,0.3591,6,1,7,0.5,42.86,7.14,True,comparable
Internet: escoger el menos malo,12,10,0.1129,0.1806,0.6382,6,4,2,0.8333,50.0,33.33,True,comparable
Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,7,7,0.0655,0.0,0.3661,2,1,4,0.4286,28.57,14.29,False,muestra insuficiente (< 10 comentarios): no comparar
Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,7,7,-0.3478,-0.3612,0.3644,0,4,3,0.5714,0.0,57.14,False,muestra insuficiente (< 10 comentarios): no comparar
Caminar en una ciudad hecha para carros,6,6,0.3168,0.41,0.3721,4,1,1,0.8333,66.67,16.67,False,muestra insuficiente (< 10 comentarios): no comparar
"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",4,4,0.3732,0.6688,0.7424,3,1,0,1.0,75.0,25.0,False,muestra insuficiente (< 10 comentarios): no comparar
10 Preguntas a un año del Paro Nacional,3,3,-0.1375,-0.5423,0.7627,1,2,0,1.0,33.33,66.67,False,muestra insuficiente (< 10 comentarios): no comparar
"Noticiero en Directo 1 pm, 28 de Agosto de 2026",2,2,-0.125,-0.125,0.1768,0,1,1,0.5,0.0,50.0,False,muestra insuficiente (< 10 comentarios): no comparar
Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,1,1,0.8176,0.8176,0.0,1,0,0,1.0,100.0,0.0,False,muestra insuficiente (< 10 comentarios): no comparar
SHAI WA: la vecina queer de Casa Presidencial,1,1,0.4588,0.4588,0.0,1,0,0,1.0,100.0,0.0,False,muestra insuficiente (< 10 comentarios): no comparar
Cruzando la ciudad a puro Transmetro,1,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,False,muestra insuficiente (< 10 comentarios): no comparar
¿Quiénes pagan más en Centroamérica?,1,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,False,muestra insuficiente (< 10 comentarios): no comparar
